SWIR1,SWIR2,Blue,Green,Red,RedEdge1,RedEdge2,RedEdge3,NIR,NIR_Narrow,NDMI,NDVI,NDWI,Longitude,Latitude
1985,905,323,568,324,843,2238,2852,3015,3216,0.20600000023841858,0.8059298992156982,-0.6829472780227661,107.23742010434461,11.506834884636392
1967,842,327,622,327,968,2874,3697,3755,4069,0.3124781548976898,0.8397844433784485,-0.7157870531082153,107.36237576036564,11.72620347701838
1623,748,301,499,265,860,2282,2766,2459,3086,0.20480157434940338,0.8054332137107849,-0.662609875202179,107.35087732472891,11.446198602958324
1862,823,272,501,290,801,2332,2966,2971,3345,0.2294640988111496,0.8221404552459717,-0.7114055156707764,107.25772202976572,11.501894150573735
1627,728,326,514,316,798,2096,2586,2777,2927,0.26112625002861023,0.7956676483154297,-0.6876329183578491,107.35734519477457,11.405415089059298
1610,682,317,510,290,842,2753,3458,3356,3823,0.3515908122062683,0.8409215807914734,-0.7361614108085632,107.29203767361908,11.512943428568406
2012,964,341,536,357,888,2151,2747,2786,3131,0.16131721436977386,0.7728285193443298,-0.6773028373718262,107.3259939913588,11.693953958318488
2020,881,332,588,346,1028,3042,3712,4092,4049,0.3390052318572998,0.8440738916397095,-0.7487179636955261,107.52308436469463,11.797350047520645
1816,769,386,563,338,840,2504,3402,3724,3556,0.34440433979034424,0.8335795402526855,-0.7373454570770264,107.25251180111782,11.442156184179787
1546,704,226,390,247,688,1955,2387,2279,2675,0.19163398444652557,0.8044338822364807,-0.7077556848526001,107.51877245133085,11.721711900597782
1569,701,203,400,241,756,2150,2731,2753,2995,0.27394723892211914,0.8390113711357117,-0.746273398399353,107.42534766178242,11.757824175019387
1651,723,246,492,280,812,2290,2934,3111,3235,0.3065938651561737,0.8348569869995117,-0.7268942594528198,107.51553851630801,11.719645775444308
1448,629,303,403,263,735,2325,2871,2687,3128,0.29963722825050354,0.8216949105262756,-0.739158570766449,107.22520301648059,11.393916653422568
1631,728,328,553,311,829,2375,2909,2850,3242,0.2720375061035156,0.8032268285751343,-0.6749926805496216,107.20894350983802,11.444491803918497
1958,897,352,516,336,882,2300,2887,2917,3255,0.19671794772148132,0.7934214472770691,-0.6993882656097412,107.22673015246359,11.556152393734553
